  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 114  13.02%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.8314   0.01341   0.00756  -0.1880   0.7585   0.7779
   0.250   0.8453   0.01342   0.00769  -0.1848   0.7500   0.8305
   0.500   0.8634   0.01312   0.00743  -0.1820   0.7442   0.9088
   0.750   0.8933   0.01308   0.00732  -0.1825   0.7371   1.0000
   1.000   0.9240   0.01312   0.00724  -0.1831   0.7300   1.0000
   1.250   0.9565   0.01316   0.00714  -0.1840   0.7239   1.0000
   1.500   0.9820   0.01328   0.00720  -0.1836   0.7154   1.0000
   1.750   1.0163   0.01327   0.00704  -0.1848   0.7096   1.0000
   2.000   1.0385   0.01345   0.00720  -0.1838   0.7003   1.0000
   2.250   1.0712   0.01346   0.00708  -0.1846   0.6939   1.0000
   2.500   1.0938   0.01363   0.00725  -0.1837   0.6844   1.0000
   2.750   1.1256   0.01367   0.00716  -0.1844   0.6776   1.0000
   3.000   1.1478   0.01384   0.00734  -0.1833   0.6678   1.0000
   3.250   1.1783   0.01392   0.00730  -0.1838   0.6605   1.0000
   3.500   1.2006   0.01409   0.00749  -0.1827   0.6504   1.0000
   3.750   1.2277   0.01422   0.00756  -0.1826   0.6419   1.0000
   4.000   1.2525   0.01437   0.00767  -0.1820   0.6323   1.0000
   4.250   1.2767   0.01456   0.00783  -0.1813   0.6225   1.0000
   4.500   1.3044   0.01470   0.00790  -0.1813   0.6136   1.0000
   4.750   1.3252   0.01493   0.00815  -0.1800   0.6027   1.0000
   5.000   1.3502   0.01513   0.00831  -0.1795   0.5931   1.0000
   5.250   1.3741   0.01534   0.00849  -0.1788   0.5826   1.0000
   5.500   1.3949   0.01561   0.00877  -0.1775   0.5715   1.0000
   5.750   1.4184   0.01586   0.00898  -0.1768   0.5611   1.0000
   6.000   1.4407   0.01613   0.00920  -0.1758   0.5503   1.0000
   6.250   1.4598   0.01644   0.00955  -0.1743   0.5388   1.0000
   6.500   1.4811   0.01677   0.00984  -0.1731   0.5279   1.0000
   6.750   1.5029   0.01710   0.01011  -0.1721   0.5170   1.0000
   7.000   1.5191   0.01746   0.01053  -0.1701   0.5053   1.0000
   7.250   1.5374   0.01785   0.01091  -0.1685   0.4941   1.0000
   7.500   1.5571   0.01825   0.01125  -0.1671   0.4834   1.0000
   7.750   1.5699   0.01865   0.01171  -0.1645   0.4719   1.0000
   8.000   1.5841   0.01911   0.01218  -0.1622   0.4609   1.0000
   8.250   1.6005   0.01960   0.01262  -0.1604   0.4503   1.0000
   8.500   1.6125   0.02011   0.01316  -0.1578   0.4392   1.0000
   8.750   1.6246   0.02067   0.01377  -0.1552   0.4282   1.0000
   9.000   1.6386   0.02126   0.01433  -0.1531   0.4177   1.0000
   9.250   1.6494   0.02189   0.01499  -0.1506   0.4068   1.0000
   9.500   1.6597   0.02258   0.01574  -0.1480   0.3960   1.0000
   9.750   1.6710   0.02332   0.01647  -0.1457   0.3854   1.0000
  10.000   1.6802   0.02412   0.01729  -0.1431   0.3746   1.0000
  10.250   1.6886   0.02498   0.01823  -0.1405   0.3639   1.0000
  10.500   1.6981   0.02590   0.01913  -0.1382   0.3536   1.0000
  10.750   1.7053   0.02690   0.02018  -0.1356   0.3429   1.0000
  11.000   1.7117   0.02799   0.02134  -0.1331   0.3320   1.0000
  11.250   1.7187   0.02915   0.02250  -0.1308   0.3218   1.0000
  11.500   1.7242   0.03041   0.02379  -0.1283   0.3111   1.0000
  11.750   1.7289   0.03176   0.02523  -0.1260   0.3003   1.0000
  12.000   1.7336   0.03321   0.02671  -0.1238   0.2899   1.0000
  12.250   1.7369   0.03480   0.02829  -0.1215   0.2795   1.0000
  12.500   1.7398   0.03647   0.03007  -0.1194   0.2686   1.0000
  12.750   1.7423   0.03827   0.03190  -0.1174   0.2583   1.0000
  13.000   1.7437   0.04022   0.03383  -0.1154   0.2484   1.0000
  13.250   1.7451   0.04227   0.03600  -0.1136   0.2376   1.0000
  13.500   1.7460   0.04445   0.03823  -0.1119   0.2276   1.0000
  13.750   1.7451   0.04686   0.04062  -0.1103   0.2180   1.0000
  14.000   1.7450   0.04932   0.04319  -0.1089   0.2076   1.0000
  14.250   1.7445   0.05193   0.04586  -0.1076   0.1981   1.0000
  14.750   1.7407   0.05768   0.05171  -0.1054   0.1797   1.0000
  15.000   1.7381   0.06078   0.05486  -0.1045   0.1711   1.0000
  15.250   1.7342   0.06412   0.05822  -0.1038   0.1627   1.0000
  15.500   1.7318   0.06744   0.06166  -0.1033   0.1542   1.0000
  15.750   1.7264   0.07113   0.06531  -0.1029   0.1468   1.0000
  16.000   1.7231   0.07475   0.06908  -0.1027   0.1387   1.0000
