  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 114  13.02%                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.250   1.2101   0.04186   0.03618  -0.2302   0.7233   0.6710
   0.500   1.2448   0.04080   0.03511  -0.2307   0.7215   0.6826
   0.750   1.2820   0.03959   0.03389  -0.2315   0.7199   0.6953
   1.000   1.3216   0.03828   0.03258  -0.2328   0.7184   0.7082
   2.000   1.4686   0.03463   0.02890  -0.2372   0.6950   0.7556
   2.250   1.5118   0.03343   0.02766  -0.2393   0.6882   0.7670
   2.500   1.5390   0.03338   0.02761  -0.2393   0.6760   0.7769
   2.750   1.5857   0.03206   0.02624  -0.2420   0.6689   0.7881
   3.000   1.6052   0.03246   0.02665  -0.2407   0.6546   0.7964
   3.250   1.6282   0.03268   0.02684  -0.2400   0.6412   0.8049
   3.500   1.6557   0.03254   0.02669  -0.2398   0.6289   0.8141
   3.750   1.6881   0.03214   0.02620  -0.2404   0.6171   0.8243
   4.000   1.7023   0.03286   0.02692  -0.2383   0.6021   0.8339
   4.250   1.7180   0.03345   0.02755  -0.2365   0.5876   0.8446
   4.500   1.7348   0.03391   0.02805  -0.2347   0.5737   0.8620
   4.750   1.7519   0.03424   0.02838  -0.2330   0.5600   1.0000
   5.000   1.7727   0.03473   0.02879  -0.2320   0.5464   1.0000
   5.250   1.7857   0.03570   0.02975  -0.2299   0.5318   1.0000
   5.500   1.7993   0.03665   0.03070  -0.2279   0.5174   1.0000
   5.750   1.8141   0.03753   0.03156  -0.2261   0.5037   1.0000
   6.000   1.8298   0.03836   0.03237  -0.2244   0.4903   1.0000
   6.250   1.8452   0.03922   0.03316  -0.2227   0.4770   1.0000
   6.500   1.8546   0.04048   0.03446  -0.2202   0.4631   1.0000
   6.750   1.8661   0.04163   0.03563  -0.2181   0.4498   1.0000
   7.000   1.8786   0.04272   0.03671  -0.2160   0.4370   1.0000
   7.250   1.8913   0.04380   0.03773  -0.2141   0.4243   1.0000
   7.500   1.8987   0.04529   0.03927  -0.2115   0.4110   1.0000
   7.750   1.9075   0.04669   0.04072  -0.2091   0.3984   1.0000
   8.000   1.9171   0.04806   0.04208  -0.2069   0.3862   1.0000
   8.250   1.9255   0.04954   0.04354  -0.2045   0.3737   1.0000
   8.500   1.9314   0.05125   0.04533  -0.2020   0.3610   1.0000
   8.750   1.9376   0.05297   0.04709  -0.1995   0.3488   1.0000
   9.000   1.9437   0.05472   0.04882  -0.1971   0.3369   1.0000
   9.250   1.9483   0.05664   0.05079  -0.1946   0.3245   1.0000
   9.500   1.9516   0.05872   0.05294  -0.1920   0.3122   1.0000
   9.750   1.9550   0.06084   0.05509  -0.1895   0.3004   1.0000
  10.250   1.9583   0.06556   0.05990  -0.1846   0.2763   1.0000
  10.500   1.9595   0.06806   0.06246  -0.1823   0.2645   1.0000
  10.750   1.9591   0.07077   0.06518  -0.1800   0.2531   1.0000
  11.000   1.9575   0.07368   0.06812  -0.1777   0.2414   1.0000
  11.250   1.9567   0.07661   0.07114  -0.1757   0.2297   1.0000
  11.500   1.9545   0.07973   0.07431  -0.1738   0.2185   1.0000
  11.750   1.9506   0.08312   0.07768  -0.1720   0.2080   1.0000
  12.000   1.9484   0.08640   0.08107  -0.1704   0.1969   1.0000
