  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 32  8.7%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.3287   0.00933   0.00409  -0.0728   0.8939   1.0000
   0.250   0.3531   0.00924   0.00393  -0.0716   0.8818   1.0000
   0.500   0.3769   0.00916   0.00378  -0.0703   0.8694   1.0000
   0.750   0.4005   0.00909   0.00365  -0.0690   0.8564   1.0000
   1.000   0.4241   0.00904   0.00354  -0.0677   0.8426   1.0000
   1.250   0.4479   0.00901   0.00346  -0.0665   0.8276   1.0000
   1.500   0.4720   0.00899   0.00339  -0.0653   0.8119   1.0000
   1.750   0.4966   0.00898   0.00332  -0.0643   0.7953   1.0000
   2.000   0.5215   0.00898   0.00326  -0.0633   0.7780   1.0000
   2.250   0.5462   0.00901   0.00324  -0.0623   0.7584   1.0000
   2.500   0.5712   0.00906   0.00325  -0.0614   0.7379   1.0000
   2.750   0.5961   0.00915   0.00328  -0.0605   0.7155   1.0000
   3.000   0.6211   0.00927   0.00331  -0.0596   0.6926   1.0000
   3.250   0.6458   0.00942   0.00338  -0.0588   0.6677   1.0000
   3.500   0.6705   0.00961   0.00352  -0.0579   0.6418   1.0000
   3.750   0.6950   0.00983   0.00366  -0.0571   0.6151   1.0000
   4.000   0.7192   0.01008   0.00383  -0.0563   0.5875   1.0000
   4.250   0.7434   0.01035   0.00402  -0.0554   0.5593   1.0000
   4.500   0.7672   0.01065   0.00427  -0.0546   0.5301   1.0000
   4.750   0.7908   0.01097   0.00451  -0.0537   0.4992   1.0000
   5.000   0.8142   0.01131   0.00479  -0.0528   0.4670   1.0000
   5.250   0.8371   0.01170   0.00509  -0.0519   0.4341   1.0000
   5.500   0.8597   0.01212   0.00543  -0.0510   0.3995   1.0000
   5.750   0.8820   0.01259   0.00583  -0.0501   0.3648   1.0000
   6.000   0.9040   0.01309   0.00625  -0.0492   0.3295   1.0000
   6.250   0.9253   0.01366   0.00671  -0.0482   0.2937   1.0000
   6.500   0.9465   0.01426   0.00721  -0.0472   0.2567   1.0000
   6.750   0.9672   0.01493   0.00776  -0.0462   0.2196   1.0000
   7.000   0.9873   0.01566   0.00837  -0.0452   0.1854   1.0000
   7.250   1.0073   0.01644   0.00910  -0.0442   0.1521   1.0000
   7.500   1.0258   0.01738   0.00990  -0.0430   0.1190   1.0000
   7.750   1.0429   0.01852   0.01091  -0.0415   0.0876   1.0000
   8.000   1.0581   0.01988   0.01215  -0.0398   0.0623   1.0000
   8.500   1.0872   0.02260   0.01483  -0.0362   0.0337   1.0000
   8.750   1.0984   0.02441   0.01676  -0.0337   0.0268   1.0000
   9.000   1.1051   0.02701   0.01937  -0.0311   0.0218   1.0000
   9.250   1.1217   0.02810   0.02065  -0.0295   0.0191   1.0000
   9.500   1.1347   0.02981   0.02254  -0.0276   0.0168   1.0000
   9.750   1.1466   0.03198   0.02483  -0.0258   0.0156   1.0000
  10.000   1.1585   0.03486   0.02790  -0.0241   0.0150   1.0000
  10.250   1.1673   0.03878   0.03215  -0.0223   0.0146   1.0000
  10.500   1.1712   0.04218   0.03588  -0.0199   0.0145   1.0000
  10.750   1.1681   0.04561   0.03965  -0.0170   0.0144   1.0000
  11.000   1.1627   0.04862   0.04294  -0.0141   0.0145   1.0000
  11.250   1.1560   0.05146   0.04603  -0.0117   0.0145   1.0000
  11.500   1.1472   0.05446   0.04927  -0.0098   0.0146   1.0000
  11.750   1.1369   0.05766   0.05272  -0.0085   0.0148   1.0000
  12.000   1.1230   0.06153   0.05683  -0.0080   0.0149   1.0000
  12.250   1.1088   0.06569   0.06123  -0.0084   0.0151   1.0000
  12.500   1.0916   0.07074   0.06653  -0.0100   0.0153   1.0000
  12.750   1.0703   0.07711   0.07315  -0.0130   0.0155   1.0000
  13.000   1.0482   0.08444   0.08071  -0.0173   0.0158   1.0000
  13.250   1.0252   0.09288   0.08936  -0.0230   0.0161   1.0000
  13.500   0.9981   0.10343   0.10008  -0.0304   0.0163   1.0000
  14.000   0.9166   0.14001   0.13680  -0.0528   0.0189   1.0000
  14.250   0.9044   0.14994   0.14668  -0.0576   0.0199   1.0000
  14.500   0.8988   0.15756   0.15426  -0.0612   0.0206   1.0000
  14.750   0.8958   0.16388   0.16055  -0.0640   0.0216   1.0000
  15.000   0.7269   0.16420   0.16129  -0.0619   0.0263   1.0000
  15.250   0.7256   0.16924   0.16632  -0.0640   0.0297   1.0000
