  
       XFOIL         Version 6.99
  
 Calculated polar for: MH 32  8.7%                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.8186   0.03302   0.02746  -0.1452   0.8574   0.7921
   0.250   0.8645   0.03247   0.02703  -0.1479   0.8510   0.8028
   0.500   0.9002   0.03176   0.02642  -0.1487   0.8403   0.8130
   0.750   0.9547   0.03084   0.02564  -0.1526   0.8362   0.8250
   1.000   0.9894   0.02974   0.02473  -0.1529   0.8244   0.8368
   1.250   1.0251   0.02844   0.02366  -0.1534   0.8124   0.8549
   1.500   0.9995   0.02805   0.02344  -0.1441   0.7742   1.0000
   1.750   1.0122   0.02714   0.02259  -0.1410   0.7255   1.0000
   2.000   1.0780   0.02406   0.01951  -0.1450   0.6872   1.0000
   2.250   1.1906   0.01857   0.01343  -0.1550   0.5773   1.0000
   2.500   1.2071   0.01925   0.01372  -0.1527   0.5114   1.0000
   2.750   1.2189   0.02018   0.01435  -0.1499   0.4551   1.0000
   3.000   1.2311   0.02114   0.01503  -0.1473   0.4010   1.0000
   3.250   1.2450   0.02209   0.01576  -0.1451   0.3494   1.0000
   3.500   1.2596   0.02306   0.01647  -0.1431   0.2999   1.0000
   3.750   1.2757   0.02401   0.01720  -0.1414   0.2524   1.0000
   4.000   1.2925   0.02500   0.01797  -0.1398   0.2075   1.0000
   4.250   1.3093   0.02607   0.01880  -0.1383   0.1629   1.0000
   4.500   1.3259   0.02726   0.01974  -0.1367   0.1210   1.0000
   4.750   1.3417   0.02865   0.02087  -0.1350   0.0827   1.0000
   5.000   1.3562   0.03025   0.02228  -0.1331   0.0536   1.0000
   5.250   1.3686   0.03206   0.02405  -0.1308   0.0350   1.0000
   5.500   1.3792   0.03407   0.02607  -0.1283   0.0245   1.0000
   5.750   1.3910   0.03612   0.02829  -0.1257   0.0206   1.0000
   6.000   1.4041   0.03802   0.03028  -0.1234   0.0180   1.0000
   6.250   1.4186   0.04070   0.03306  -0.1214   0.0163   1.0000
   6.500   1.4472   0.04457   0.03722  -0.1208   0.0151   1.0000
   6.750   1.4594   0.04622   0.03913  -0.1186   0.0140   1.0000
   7.000   1.4699   0.04814   0.04128  -0.1163   0.0127   1.0000
   7.250   1.4800   0.05081   0.04422  -0.1140   0.0120   1.0000
   7.500   1.4867   0.05412   0.04787  -0.1114   0.0117   1.0000
   7.750   1.4877   0.05783   0.05194  -0.1083   0.0115   1.0000
   8.000   1.4824   0.06199   0.05653  -0.1049   0.0115   1.0000
   8.250   1.4711   0.06657   0.06152  -0.1014   0.0116   1.0000
   8.500   1.4544   0.07163   0.06698  -0.0979   0.0118   1.0000
   8.750   1.4346   0.07698   0.07270  -0.0950   0.0121   1.0000
   9.000   1.4129   0.08260   0.07865  -0.0928   0.0123   1.0000
   9.250   1.3903   0.08849   0.08483  -0.0916   0.0125   1.0000
   9.500   1.3676   0.09473   0.09135  -0.0916   0.0127   1.0000
   9.750   1.3444   0.10162   0.09844  -0.0931   0.0128   1.0000
  10.000   1.3231   0.10907   0.10611  -0.0962   0.0130   1.0000
  10.250   1.3020   0.11743   0.11467  -0.1009   0.0131   1.0000
  10.500   1.2818   0.12671   0.12412  -0.1071   0.0133   1.0000
  10.750   1.2615   0.13741   0.13498  -0.1149   0.0134   1.0000
  11.000   1.2413   0.14960   0.14730  -0.1240   0.0136   1.0000
  11.250   1.2222   0.16303   0.16080  -0.1335   0.0141   1.0000
  11.500   1.2083   0.17494   0.17269  -0.1410   0.0147   1.0000
